Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT,Rooms,Furnished
"Taman Desa",3.1039,101.7124,0.9,12,9,3,1842,4200,Condominium,"Taman Desa",5,"Fully Furnished"
Cheras,3.0997,101.7493,3.2,11,7.9,8,1170,2300,Condominium,"Cheras MRT",3,"Partially Furnished"
"Taman Desa",3.0999,101.6944,5.3,4,5.8,5,650,1000,Apartment,"Taman Desa",3,"Fully Furnished"
Sentul,3.1919,101.6723,3.5,10,6.6,5,743,1700,Apartment,"Sentul LRT",2,"Partially Furnished"
"Mont Kiara",3.1915,101.6528,6,11,8.9,12,494,1299,"Service residence","Mont Kiara",1,"Not Furnished"
Setapak,3.2043,101.7094,2.6,7,6.5,9,884,1500,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Sentul,3.1939,101.6803,1.4,13,7.5,8,982,2900,"Service residence","Sentul LRT",3,"Fully Furnished"
Ampang,3.1438,101.743,1,10,7.2,7,700,1550,"Service residence","Ampang Park LRT",1,"Fully Furnished"
Segambut,3.1974,101.6729,3,8,5.6,11,750,1400,Apartment,"Segambut KTM",2,"Fully Furnished"
"Desa ParkCity",3.1723,101.6112,4.2,8,9.7,9,862,1350,Condominium,"Desa ParkCity",3,"Partially Furnished"
"Bukit Jalil",3.0487,101.6629,0.6,8,8.4,6,868,2600,"Service residence","Bukit Jalil LRT",2,"Partially Furnished"
Setapak,3.1773,101.7224,2.9,12,7.2,3,1100,2000,"Service residence","Wangsa Maju LRT",4,"Partially Furnished"
Ampang,3.1498,101.762,5.2,16,7.3,7,700,1500,"Service residence","Ampang Park LRT",1,"Fully Furnished"
Sentul,3.1909,101.6783,5.9,13,7.1,8,1009,1300,"Service residence","Sentul LRT",3,"Fully Furnished"
Kepong,3.1923,101.6385,5.2,5,6.9,14,855,1000,Apartment,"Kepong LRT",5,"Partially Furnished"
"KL City",3.1568,101.6784,1.1,17,8.4,5,950,3200,Apartment,"Masjid Jamek LRT",3,"Fully Furnished"
"KL City",3.1438,101.7074,1.3,17,7.8,5,950,3200,Apartment,"Masjid Jamek LRT",3,"Fully Furnished"
Cheras,3.1327,101.7423,3,10,6.1,4,650,1400,"Service residence","Cheras MRT",2,"Not Furnished"
"Wangsa Maju",3.2139,101.7626,2.9,5,7,12,1784,2500,Condominium,"Wangsa Maju LRT",4,"Not Furnished"
Ampang,3.1488,101.77,1.5,8,7.4,13,1100,1800,Condominium,"Ampang Park LRT",3,"Fully Furnished"
Cheras,3.1047,101.7203,5.5,10,7.1,4,650,1099,"Service residence","Cheras MRT",2,"Not Furnished"
Cheras,3.1277,101.7173,5.3,11,7.4,4,650,1099,"Service residence","Cheras MRT",2,"Partially Furnished"
Cheras,3.1107,101.7173,2.3,11,7.2,4,819,1199,"Service residence","Cheras MRT",3,"Not Furnished"
Cheras,3.1047,101.7373,5.6,9,7.2,4,650,1100,"Service residence","Cheras MRT",2,"Not Furnished"
Cheras,3.1227,101.7183,5.2,3,7.3,11,650,1000,Apartment,"Cheras MRT",3,"Not Furnished"
Cheras,3.1197,101.7433,1.9,9,6.4,10,900,1100,Condominium,"Cheras MRT",1,"Partially Furnished"
"Wangsa Maju",3.2119,101.7266,6,6,6.7,6,1140,1400,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
Setapak,3.1783,101.7184,4.5,5,6.4,14,900,1500,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
"Solaris Dutamas",3.1838,101.6684,3.2,7,7.2,8,1500,2500,Condominium,Publika,4,"Partially Furnished"
