Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT
Cheras,3.1167,101.7333,0.8,15,7.5,5,850,1800,Apartment,Cheras MRT
Cheras,3.1145,101.7289,1.2,12,7.2,8,750,1500,Apartment,Cheras MRT
Cheras,3.1189,101.7401,2.1,10,6.8,12,900,1650,Condo,Cheras MRT
Bangsar,3.1319,101.6710,0.5,18,9.2,3,1200,3500,Condo,Bangsar LRT
Bangsar,3.1298,101.6745,0.9,16,9.0,5,1100,3200,Condo,Bangsar LRT
Bangsar,3.1341,101.6689,1.5,14,8.8,7,1000,2800,Apartment,Bangsar LRT
Bangsar,3.1356,101.6723,0.7,19,9.3,2,1400,4200,Condo,Bangsar LRT
Cyberjaya,2.9213,101.6559,3.5,8,7.0,4,950,1400,Apartment,Putrajaya Sentral
Cyberjaya,2.9189,101.6512,4.2,7,6.8,6,900,1250,Apartment,Putrajaya Sentral
Cyberjaya,2.9245,101.6601,2.8,10,7.3,3,1100,1650,Condo,Putrajaya Sentral
Petaling Jaya,3.1073,101.6067,1.1,16,8.5,6,1050,2400,Condo,Taman Jaya LRT
Petaling Jaya,3.1098,101.6123,0.8,17,8.7,4,1150,2650,Condo,Taman Jaya LRT
Petaling Jaya,3.1045,101.6012,1.8,14,8.2,9,950,2100,Apartment,Taman Jaya LRT
Petaling Jaya,3.1112,101.6089,1.3,15,8.4,5,1000,2300,Apartment,Taman Jaya LRT
Mont Kiara,3.1725,101.6508,0.6,19,9.5,2,1500,4500,Condo,Mont Kiara
Mont Kiara,3.1698,101.6534,0.9,18,9.4,3,1400,4200,Condo,Mont Kiara
Mont Kiara,3.1756,101.6489,1.2,17,9.3,5,1300,3800,Condo,Mont Kiara
Mont Kiara,3.1712,101.6523,0.4,20,9.6,1,1600,4800,Condo,Mont Kiara
Subang Jaya,3.0437,101.5810,1.5,13,7.8,7,900,1850,Apartment,Subang Jaya KTM
Subang Jaya,3.0456,101.5867,1.0,14,8.0,5,950,2000,Apartment,Subang Jaya KTM
Subang Jaya,3.0412,101.5789,2.1,11,7.5,10,850,1650,Apartment,Subang Jaya KTM
Subang Jaya,3.0478,101.5834,1.3,15,8.2,4,1050,2200,Condo,Subang Jaya KTM
Shah Alam,3.0733,101.5185,2.5,10,7.2,8,800,1400,Apartment,Shah Alam KTM
Shah Alam,3.0689,101.5234,3.1,9,7.0,11,750,1250,Apartment,Shah Alam KTM
Shah Alam,3.0778,101.5156,2.0,12,7.5,6,900,1600,Condo,Shah Alam KTM
Shah Alam,3.0712,101.5201,2.8,8,6.8,9,780,1350,Apartment,Shah Alam KTM
Ampang,3.1478,101.7620,1.4,11,7.0,10,850,1550,Apartment,Ampang Park LRT
Ampang,3.1501,101.7589,1.0,13,7.3,7,900,1700,Apartment,Ampang Park LRT
Ampang,3.1445,101.7656,2.0,9,6.7,13,800,1400,Apartment,Ampang Park LRT
Ampang,3.1523,101.7601,0.8,14,7.5,5,950,1850,Condo,Ampang Park LRT
Damansara,3.1478,101.6200,1.2,16,8.6,4,1100,2500,Condo,Bandar Utama
Damansara,3.1501,101.6167,0.9,17,8.8,3,1200,2750,Condo,Bandar Utama
Damansara,3.1445,101.6234,1.6,14,8.3,6,1000,2300,Apartment,Bandar Utama
Damansara,3.1523,101.6189,1.0,18,8.9,2,1300,2900,Condo,Bandar Utama
Puchong,3.0330,101.6069,2.3,10,6.9,9,850,1450,Apartment,Puchong IOI
Puchong,3.0356,101.6123,1.8,12,7.2,7,900,1600,Apartment,Puchong IOI
Puchong,3.0301,101.6034,3.0,8,6.5,12,800,1300,Apartment,Puchong IOI
Puchong,3.0378,101.6089,2.0,11,7.0,8,950,1550,Condo,Puchong IOI
KLCC,3.1578,101.7123,0.3,20,9.8,1,1800,5500,Condo,KLCC LRT
KLCC,3.1556,101.7089,0.5,19,9.7,2,1700,5200,Condo,KLCC LRT
KLCC,3.1601,101.7156,0.4,20,9.9,1,1900,5800,Condo,KLCC LRT
Bukit Jalil,3.0567,101.6789,1.5,13,7.6,5,950,1750,Apartment,Bukit Jalil LRT
Bukit Jalil,3.0589,101.6823,1.2,14,7.8,4,1000,1900,Condo,Bukit Jalil LRT
Bukit Jalil,3.0534,101.6756,2.0,11,7.3,8,900,1600,Apartment,Bukit Jalil LRT
Setapak,3.1923,101.7234,1.8,10,6.8,11,800,1350,Apartment,Wangsa Maju LRT
Setapak,3.1945,101.7289,1.4,12,7.1,8,850,1500,Apartment,Wangsa Maju LRT
Setapak,3.1901,101.7201,2.3,9,6.5,13,750,1250,Apartment,Wangsa Maju LRT
Kepong,3.2123,101.6345,2.5,9,6.7,10,800,1300,Apartment,Kepong LRT
Kepong,3.2145,101.6389,2.0,11,7.0,8,850,1450,Apartment,Kepong LRT
Kepong,3.2101,101.6312,3.1,8,6.4,12,750,1200,Apartment,Kepong LRT
Sentul,3.1789,101.6923,1.6,11,7.2,9,850,1500,Apartment,Sentul LRT
Sentul,3.1812,101.6967,1.3,12,7.4,7,900,1650,Apartment,Sentul LRT
Sentul,3.1767,101.6889,2.1,10,6.9,11,800,1400,Apartment,Sentul LRT
Wangsa Maju,3.1989,101.7456,1.1,13,7.5,6,900,1700,Apartment,Wangsa Maju LRT
Wangsa Maju,3.2012,101.7501,0.9,14,7.7,5,950,1850,Condo,Wangsa Maju LRT
Wangsa Maju,3.1967,101.7423,1.5,12,7.3,8,850,1600,Apartment,Wangsa Maju LRT
Taman Tun Dr Ismail,3.1389,101.6234,1.4,15,8.4,6,1000,2400,Apartment,TTDI
Taman Tun Dr Ismail,3.1412,101.6289,1.0,16,8.6,4,1100,2650,Condo,TTDI
Taman Tun Dr Ismail,3.1367,101.6201,1.8,14,8.2,8,950,2200,Apartment,TTDI
